Event.Date,Location,Country,Airport.Code,Total.Fatal.Injuries
11/27/1984,"MASON CITY, IA",United States,MCW,0
,,,,
11/27/1984,"AHOSKIE, NC",United States,A5J,0
,,,,
,,,,
11/26/1984,"HAMMOND, LA",United States,OR9,1
,,,,
,,,,
11/26/1984,"CHAMBLEE, GA",United States,PDK,0
,,,,
11/25/1984,"MADISON, CT",United States,N04,0
11/25/1984,"PROSPECTVILLE, PA",United States,N34,0
,,,,
,,,,
11/25/1984,"CROSS CITY, FL",United States,CTY,0
11/25/1984,"OXNARD, CA",United States,OXR,0
,,,,
11/25/1984,"BLAINE, MN",United States,ANE,0
,,,,
,,,,
,,,,
11/24/1984,"PENNINGTON, NJ",United States,N75,0
11/24/1984,"VAN BUREN, MO",United States,M072,0
11/24/1984,"LOS ALAMITOS, CA",United States,SLI,0
,,,,
,,,,
11/24/1984,"ROMEOVILLE, IL",United States,LOT,0
,,,,
11/23/1984,"ROLLA, MO",United States,K07,0
,,,,
,,,,
11/23/1984,"LAKE ISABELLA, CA",United States,L05,2
,,,,
11/23/1984,"LAGRANGE, IN",United States,IN88,0
11/23/1984,"WAUKEGAN, IL",United States,UGN,0
,,,,
,,,,
,,,,
11/22/1984,"PLAINFIELD, IL",United States,1C5,0
,,,,
,,,,
11/21/1984,"JACKSONVILLE, FL",United States,CRG,0
,,,,
,,,,
,,,,
,,,,
11/21/1984,"ANCHORAGE, AK",United States,MRI,0
,,,,
11/20/1984,"JOPLIN, MO",United States,JLN,0
,,,,
,,,,
,,,,
,,,,
11/20/1984,"FAIRBANKS, AK",United States,FAI,0
,,,,
11/19/1984,"ANTRIM, NH",United States,8B1,0
,,,,
,,,,
,,,,
,,,,
11/19/1984,"PAMPA, TX",United States,PPA,0
11/19/1984,"SANDUSKY, OH",United States,SKY,0
,,,,
,,,,
11/18/1984,"PEMBROKE PINES, FL",United States,HWO,0
11/18/1984,"GLENDALE, AZ",United States,P37,0
,,,,
,,,,
,,,,
,,,,
11/17/1984,"KIRKSVILLE, MO",United States,IRK,0
,,,,
,,,,
,,,,
,,,,
11/17/1984,"HOLLAND, MI",United States,C19,0
11/17/1984,"PLATO CENTER, IL",United States,IL53,0
,,,,
,,,,
,,,,
,,,,
,,,,
11/16/1984,"AURORA, OR",United States,3S2,0
,,,,
,,,,
11/16/1984,"HONOLULU, HI",United States,HHL,0
11/16/1984,"TERRE HAUTE, IN",United States,3I3,0
11/15/1984,"WESTERLY, RI",United States,WST,0
,,,,
11/15/1984,"TITUSVILLE, FL",United States,TIX,0
,,,,
,,,,
11/15/1984,"HAYWARD, WI",United States,HYR,0
11/15/1984,"CONWAY, SC",United States,HWY,0
11/14/1984,"TALLAHASSEE, FL",United States,TLH,0
,,,,
,,,,
,,,,
,,,,
11/13/1984,"MIAMI, FL",United States,TMB,0
,,,,
,,,,
,,,,
,,,,
11/12/1984,"YUMA, AZ",United States,152,0
11/12/1984,"EDINBURG, TX",United States,25R,0
11/12/1984,"ABILENE, TX",United States,6F4,2
,,,,
,,,,
,,,,
11/12/1984,"CHARLESTON, SC",United States,CHS,0
,,,,
11/12/1984,"TOK, AK",United States,6K8,0
11/12/1984,"CHUGIAK, AK",United States,Z-15,0
11/11/1984,"AMARILLO, TX",United States,TDW,0
11/11/1984,"AMARILLO, TX",United States,TDW,0
,,,,
,,,,
,,,,
11/11/1984,"BLOOMINGTON, IN",United States,BMG,0
,,,,
11/10/1984,"MARLBORO, NJ",United States,2N8,0
,,,,
11/10/1984,"WATERFORD, CT",United States,7B8,0
11/10/1984,"WATERFORD, CT",United States,7B8,0
11/10/1984,"WEST MIFFLIN, PA",United States,AGC,0
11/10/1984,"TAUNTON, MA",United States,TAN,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/9/1984,"AMARILLO, TX",United States,TDW,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/8/1984,"ALTON, IL",United States,ALN,0
,,,,
11/8/1984,"REIDSVILLE, NC",United States,NC14,0
11/7/1984,"ALGONA, IA",United States,AXA,0
,,,,
,,,,
,,,,
11/6/1984,"SPRINGFIELD, MO",United States,SGE,0
,,,,
,,,,
,,,,
11/5/1984,"ELY, NV",United States,ELY,0
,,,,
11/5/1984,"GROTON, CT",United States,GON,0
,,,,
,,,,
11/5/1984,"DENVER, CO",United States,DEN,0
,,,,
11/5/1984,"CHICAGO, IL",United States,ORD,0
11/4/1984,"OXFORD, CT",United States,OXL,0
11/4/1984,"OXFORD, IA",United States,IA24,0
,,,,
11/4/1984,"CRESTVIEW, FL",United States,CEW,2
,,,,
11/4/1984,"SANTA ANA, CA",United States,SNA,0
,,,,
,,,,
,,,,
11/3/1984,"ENDICOTT, NY",United States,N17,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/3/1984,"GRAYSLAKE, IL",United States,C81,0
,,,,
11/3/1984,"WHEELING, IL",United States,PWK,0
11/2/1984,"BEVERLY, MA",United States,BVY,2
11/2/1984,"AURORA, MO",United States,2H2,0
11/2/1984,"SPRINGFIELD, MO",United States,SGF,0
,,,,
,,,,
11/2/1984,"COLUMBUS, OH",United States,CMH,0
,,,,
11/1/1984,"LACONIA, NH",United States,LCI,0
,,,,
11/1/1984,"LOS ANGELES, CA",United States,LAX,0
11/1/1984,"BIG LAKE, TX",United States,E41,0
11/1/1984,"ANCHORAGE, AK",United States,MRI,0
10/31/1984,"CHANUTE, KS",United States,CNU,0
,,,,
10/31/1984,"RIVERSIDE, CA",United States,RIR,0
,,,,
10/31/1984,"WOOSTER, OH",United States,BJJ,2
10/31/1984,"CHARLOTTE, NC",United States,CLT,0
,,,,
,,,,
,,,,
10/30/1984,"MC CORDSVILLE, IN",United States,I21,0
,,,,
10/29/1984,"GRAND ISLAND, NE",United States,GRI,0
,,,,
10/29/1984,"FT.WALTON BEACH, FL",United States,KHRT,0
10/29/1984,"JACKSONVILLE, FL",United States,JAX,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/28/1984,"LONGMONT, CO",United States,2V2,0
10/28/1984,"CHICAGO, IL",United States,MDW,0
,,,,
,,,,
,,,,
,,,,
10/27/1984,"FARMINGTON, PA",United States,9G7,0
10/27/1984,"CAMARILLO, CA",United States,CMA,0
10/27/1984,"LOWER LAKE, CA",United States,209,0
,,,,
,,,,
,,,,
10/27/1984,"GLEN CANYON, UT",United States,UO7,0
10/27/1984,"FRASER, MI",United States,D13,0
10/27/1984,"CHICAGO, IL",United States,ORD,0
10/27/1984,"WASHINGTON, DC",United States,DCA,0
,,,,
10/27/1984,"HOMER, AK",United States,HOM,0
,,,,
,,,,
10/26/1984,"MONTAGUE, CA",United States,SIY,0
10/26/1984,"EL PASO, TX",United States,ELP,0
,,,,
,,,,
,,,,
,,,,
10/26/1984,"ALLEGAN, MI",United States,35D,0
10/26/1984,"JOLIET, IL",United States,JOT,1
10/26/1984,"BIRMINGHAM, AL",United States,BHM,0
10/26/1984,"KENAI, AK",United States,ENA,0
10/25/1984,"COLUMBIA, MO",United States,COU,0
10/25/1984,"HEBER CITY, UT",United States,360,0
10/25/1984,"VICKSBURG, MS",United States,VKS,0
10/24/1984,"NORTH PLATTE, NE",United States,LBF,0
10/24/1984,"CHANDLER, AZ",United States,P10,0
,,,,
10/24/1984,"TECUNSEH, MI",United States,3TE,0
10/24/1984,"BELLEVILLE, MI",United States,YIP,0
10/24/1984,"SALISBURY, MD",United States,SBY,4
10/24/1984,"HOT SPRINGS, VA",United States,HSP,2
10/24/1984,"GRIFFIN, GA",United States,6A2,0
,,,,
10/23/1984,"WILLISTON, FL",United States,X60,0
,,,,
10/23/1984,"CHEYENNE, WY",United States,CYS,0
10/23/1984,"MINNEAPOLIS, MN",United States,MIC,0
,,,,
10/22/1984,"WAPPINGER FALLS, NY",United States,POU,0
10/22/1984,"ORLANDO, FL",United States,N/A,0
,,,,
,,,,
,,,,
10/21/1984,"PALO ALTO, CA",United States,PAO,0
,,,,
10/21/1984,"BOGALUSA, LA",United States,BXA,0
,,,,
,,,,
,,,,
10/20/1984,"APPLE VALLEY, CA",United States,APV,0
,,,,
10/20/1984,"LAKE VILLAGE, IN",United States,C98,0
10/20/1984,"DODGEVILLE, WI",United States,55C,0
,,,,
,,,,
,,,,
,,,,
,,,,
10/19/1984,"WEST PALM BEACH, FL",United States,PBI,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/18/1984,"SEDONA, AZ",United States,SEZ,0
10/18/1984,"ADDISON, TX",United States,ADS,1
10/18/1984,"LIVINGSTON, MT",United States,LVM,0
,,,,
,,,,
10/18/1984,"COMPTON, IL",United States,C82,0
,,,,
,,,,
,,,,
10/16/1984,"EL MONTE, CA",United States,EMT,0
10/16/1984,"SAN PEDRO, CA",United States,TOA,0
,,,,
10/16/1984,"STILLWATER, OK",United States,SWO,0
10/16/1984,"SEGUIN, TX",United States,T90,4
10/16/1984,"CREEDE, CO",United States,Q39,0
10/16/1984,"YPSILANTI, MI",United States,YIP,0
,,,,
10/16/1984,"SELAWIK, AK",United States,WLK,0
,,,,
,,,,
,,,,
,,,,
,,,,
10/15/1984,"ORMOND BEACH, FL",United States,OMN,0
10/15/1984,"COOLIDGE, GA",United States,11,0
10/15/1984,"PUNTA GORDA, FL",United States,PGD,0
10/15/1984,"UVALDE, TX",United States,UVA,0
,,,,
,,,,
,,,,
,,,,
10/14/1984,"LIVE OAK, FL",United States,FL07,0
10/14/1984,"CORNING, CA",United States,4,0
10/14/1984,"BOOKER, TX",United States,BGD,0
10/14/1984,"ERIE, PA",United States,ERI,0
,,,,
,,,,
10/13/1984,"GABBS, NV",United States,GAB,0
,,,,
10/13/1984,"MILES CITY, FL",United States,08X,0
10/13/1984,"MILES CITY, FL",United States,OBX,0
10/13/1984,"CAMARILLO, CA",United States,CMA,0
10/13/1984,"PORTERVILLE, CA",United States,PTV,1
,,,,
10/13/1984,"SAINT CLOUD, MI",United States,3MN7,0
,,,,
10/12/1984,"SONOMA, CA",United States,0Q3,0
10/12/1984,"MARBLE CANYON, AZ",United States,AZ03,0
10/12/1984,"YUBA CITY, CA",United States,502,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/11/1984,"ST. CLOUD, MN",United States,STC,1
10/11/1984,"ABBEVILLE, SC",United States,A03,0
10/11/1984,"CUMMING, GA",United States,84A,0
10/11/1984,"MORGANTOWN, NC",United States,NC52,2
10/11/1984,"MORGANTOWN, NC",United States,NC52,2
,,,,
,,,,
10/10/1984,"RIVERSIDE, CA",United States,92CA,3
10/10/1984,"CHAMBLEE, GA",United States,PDK,0
10/9/1984,"ORLANDO, FL",United States,ORL,0
10/9/1984,"CONCORD, CA",United States,CCR,0
,,,,
,,,,
,,,,
,,,,
10/9/1984,"GOLD HILL, NC",United States,NC25,0
,,,,
10/8/1984,"CARLISLE, AR",United States,4M3,0
10/8/1984,"SAN FRANCISCO, CA",United States,SFO,3
10/8/1984,"SANTA MONICA, CA",United States,SMO,0
10/8/1984,"LONG BEACH, CA",United States,LGB,0
,,,,
,,,,
10/8/1984,"PEMBINA, ND",United States,PMB,0
10/8/1984,"ALBUQUERQUE, NM",United States,ABQ,0
10/8/1984,"LINCOLN, IL",United States,3LC,0
10/7/1984,"ASHFORD, WA",United States,S14,0
,,,,
,,,,
10/7/1984,"CORAM, NY",United States,3N3,0
,,,,
10/7/1984,"BATAVIA, NY",United States,3G8,0
,,,,
,,,,
,,,,
10/7/1984,"NEWPORT BEACH, CA",United States,SNA,1
,,,,
10/7/1984,"AMARILLO, TX",United States,TDW,0
10/7/1984,"ROCKY FORD, CO",United States,2V8,0
,,,,
,,,,
10/6/1984,"ASTORIA, OR",United States,AST,0
,,,,
10/6/1984,"ESSEX, NY",United States,N/84,0
,,,,
10/6/1984,"HOUSE SPRINGS, MO",United States,M003,0
10/6/1984,"TWENTYNINE PALM, CA",United States,TNP,0
,,,,
10/6/1984,"CINCINNATI, OH",United States,LUK,0
10/6/1984,"XENIA, OH",United States,120,0
10/6/1984,"COLUMBUS, OH",United States,2I4,0
10/6/1984,"YOUNGSTOWN, OH",United States,04G,0
10/6/1984,"HAMPSHIRE, IL",United States,C38,0
,,,,
10/5/1984,"VAN NUYS, CA",United States,UNY,0
,,,,
,,,,
10/5/1984,"CROWELL, TX",United States,8F4,0
,,,,
10/5/1984,"SILVER CITY, NM",United States,1.00E+06,0
10/5/1984,"TECUMSEH, MI",United States,3TE,0
10/4/1984,"HOOD RIVER, OR",United States,4S2,0
,,,,
,,,,
,,,,
10/4/1984,"ABERDEEN, SD",United States,ABR,3
10/4/1984,"WEST BRANCH, MI",United States,Y31,0
10/4/1984,"NORFOLK, VA",United States,ORF,0
10/3/1984,"WATERBURY, CT",United States,N41,0
,,,,
,,,,
10/3/1984,"REDDING, CA",United States,85,0
,,,,
10/3/1984,"LAS VEGAS, NM",United States,LVS,0
10/3/1984,"FT. WAYNE, IN",United States,SMD,0
10/3/1984,"GREENBUSH, MN",United States,24,0
,,,,
,,,,
,,,,
,,,,
10/2/1984,"EL MONTE, CA",United States,EMT,0
,,,,
,,,,
,,,,
,,,,
,,,,
9/30/1984,"CHURCHTON, MD",United States,ANP,0
,,,,
,,,,
,,,,
9/30/1984,"PALM SPRINGS, CA",United States,PSP,0
,,,,
,,,,
9/30/1984,"MISSOULA, MT",United States,MSO,0
9/30/1984,"BISMARCK, ND",United States,BIS,0
,,,,
,,,,
,,,,
,,,,
9/29/1984,"AURORA, OR",United States,3S2,0
9/29/1984,"SHADY COVE, OR",United States,41S,0
,,,,
9/29/1984,"WEST HAMPTON, NY",United States,FOK,0
9/29/1984,"LA BELLE, FL",United States,X14,0
9/29/1984,"BORREGO SPRINGS, CA",United States,L08,0
9/29/1984,"SAN DIEGO, CA",United States,NZY,0
9/29/1984,"HOUSTON, TX",United States,IAH,0
,,,,
9/29/1984,"GREGORY, MI",United States,69G,0
9/29/1984,"CANTON, OH",United States,CAK,0
,,,,
9/28/1984,"DARRINGTON, WA",United States,1S2,0
,,,,
9/28/1984,"NAPLES, FL",United States,APF,0
9/28/1984,"BRYCEVILLE, FL",United States,JAX,1
,,,,
,,,,
,,,,
,,,,
9/27/1984,"HARRISBURG, PA",United States,CXY,0
9/27/1984,"ORLANDO, FL",United States,ORL,0
,,,,
9/27/1984,"STOCKTON, CA",United States,SCK,0
,,,,
,,,,
9/27/1984,"ANCHORAGE, AK",United States,MRI,0
9/26/1984,"BURNS, OR",United States,BNO,0
,,,,
,,,,
,,,,
,,,,
9/26/1984,"CORONA, NM",United States,NM25,0
,,,,
9/26/1984,"CLIO, MI",United States,51G,0
,,,,
9/25/1984,"HAZLETON, PA",United States,HZL,0
,,,,
,,,,
9/25/1984,"MEXICAN HAT, UT",United States,73V,0
9/25/1984,"JACKSON, TN",United States,MKL,0
,,,,
9/24/1984,"TITUSVILLE, PA",United States,6G1,0
,,,,
9/24/1984,"MIAMI, FL",United States,X46,0
,,,,
9/24/1984,"SALINAS, CA",United States,SNS,0
9/24/1984,"CAMARILLO, CA",United States,CMA,0
9/24/1984,"LAFAYETTE, IN",United States,LAF,0
9/24/1984,"WHEELING, IL",United States,PWK,0
9/24/1984,"ATLANTA, GA",United States,ATL,0
9/24/1984,"BLUEFIELD, WV",United States,BLF,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/22/1984,"NEW YORK, NY",United States,6N5,0
,,,,
9/22/1984,"SLATER, MO",United States,9K5,0
9/22/1984,"MERCED, CA",United States,MCE,0
,,,,
9/22/1984,"MILPITAS, CA",United States,Q59,0
,,,,
9/22/1984,"MCKINNEY, TX",United States,TX05,2
,,,,
9/22/1984,"SALT LAKE CITY, UT",United States,U42,0
,,,,
9/22/1984,"INDIANAPOLIS, IN",United States,2IN2,0
,,,,
9/22/1984,"PLATO CENTER, IL",United States,LL53,1
,,,,
9/22/1984,"CHUGIAK, AK",United States,Z15,0
,,,,
,,,,
,,,,
,,,,
9/21/1984,"SAND SPRINGS, OK",United States,58,0
9/21/1984,"DEMING, NM",United States,DMN,0
9/21/1984,"MISSOULA, MT",United States,MSO,3
,,,,
9/21/1984,"VALPARAISO, IN",United States,VPZ,0
9/21/1984,"LAKE ELMO, MN",United States,21D,0
9/21/1984,"ALEXANDRIA, MN",United States,AXN,0
,,,,
,,,,
9/20/1984,"WEST MIFFLIN, PA",United States,AGC,0
9/20/1984,"LINCOLN, CA",United States,51,0
9/20/1984,"PASO ROBLES, CA",United States,PRB,0
9/20/1984,"CARLSBAD, CA",United States,CRQ,0
9/20/1984,"LANCASTER, TX",United States,LNC,0
9/20/1984,"PLAINVIEW, TX",United States,PVW,0
9/20/1984,"CARRINGTON, ND",United States,46D,0
,,,,
,,,,
9/20/1984,"CHICAGO, IL",United States,MDW,0
9/20/1984,"MURRAY, KY",United States,CEY,0
,,,,
9/19/1984,"MEDFORD, NJ",United States,7J5,0
9/19/1984,"WORCESTER, MA",United States,ORH,1
9/19/1984,"DAVENPORT, IA",United States,DVN,0
9/19/1984,"SANTA ANA, CA",United States,SNA,0
9/19/1984,"EVANSVILLE, IN",United States,EVV,0
9/19/1984,"LANETT, AL",United States,7A3,2
,,,,
9/18/1984,"TWIN FALLS, ID",United States,TWE,0
,,,,
9/18/1984,"STONINGTON, ME",United States,93B,0
9/18/1984,"BOCA RATON, FL",United States,BCT,0
9/18/1984,"ROCKWALL, TX",United States,F46,0
,,,,
9/18/1984,"COVINGTON, IN",United States,4I5,0
,,,,
,,,,
,,,,
9/17/1984,"BISHOP, CA",United States,BIH,0
9/17/1984,"MARIPOSA, CA",United States,68,2
9/17/1984,"LONG BEACH, CA",United States,LGB,0
,,,,
,,,,
,,,,
,,,,
,,,,
9/17/1984,"ANCHORAGE, AK",United States,MRI,0
,,,,
,,,,
9/16/1984,"LINDEN, NJ",United States,LDJ,6
9/16/1984,"AMES, IA",United States,AMW,0
,,,,
9/16/1984,"CALISTOGA, CA",United States,58,0
,,,,
,,,,
,,,,
,,,,
9/16/1984,"MANKATO, MN",United States,MKT,0
9/16/1984,"WAYNESBORO, VA",United States,W13,0
9/16/1984,"COLUMBUS, GA",United States,CSG,0
9/16/1984,"CHERAW, SC",United States,47J,0
,,,,
,,,,
9/16/1984,"POINT HOPE, AK",United States,PHO,0
9/16/1984,"ANCHORAGE, AK",United States,MRI,0
9/15/1984,"KELSO, WA",United States,KLS,0
,,,,
9/15/1984,"LAUREL, MD",United States,W18,0
9/15/1984,"BUFFALO, NY",United States,BUF,0
9/15/1984,"ROLLA, MO",United States,K18,0
9/15/1984,"KEY WEST, FL",United States,EYW,0
,,,,
9/15/1984,"SANTA PAULA, CA",United States,SZP,0
9/15/1984,"SEGUIN, TX",United States,T90,0
9/15/1984,"FLATONIA, TX",United States,29R,0
9/15/1984,"DFW AIRPORT, TX",United States,DRW,0
,,,,
9/15/1984,"GRAND RAPIDS, MI",United States,CO5,0
,,,,
,,,,
9/14/1984,"BURLEY, ID",United States,BY1,0
9/14/1984,"HOLLISTER, CA",United States,307,0
,,,,
,,,,
9/14/1984,"LAPORTE, TX",United States,T41,0
,,,,
,,,,
9/14/1984,"DALLAS, TX",United States,DAL,0
9/14/1984,"MEDINA, OH",United States,1G5,0
9/14/1984,"DAYTON, TN",United States,2A0,1
,,,,
,,,,
9/13/1984,"WHITE PLAINES, NY",United States,HPN,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/12/1984,"DRIGGS, ID",United States,U59,0
9/12/1984,"ALBION, NY",United States,9G6,0
9/12/1984,"LITTLE ROCK, AR",United States,LIT,0
,,,,
,,,,
9/12/1984,"MELVILLE, LA",United States,4LA8,0
,,,,
9/11/1984,"GAITHERSBURG, MD",United States,GA1,0
,,,,
,,,,
9/11/1984,"AUSTIN, TX",United States,3R3,0
9/11/1984,"WHARTON, TX",United States,5R5,0
,,,,
9/11/1984,"BELGRADE, MT",United States,BZN,0
,,,,
,,,,
9/10/1984,"CHESTERFIELD, MO",United States,SUS,0
9/10/1984,"ALTUS, OK",United States,AXS,0
9/10/1984,"WESTFIELD, IN",United States,I72,0
9/10/1984,"DE PERE, WI",United States,WI78,0
9/9/1984,"BANDON, OR",United States,SO5,0
9/9/1984,"DEETH, NV",United States,NV04,0
9/9/1984,"NORRIDGEWOCK, ME",United States,OWK,0
,,,,
9/9/1984,"AKRON, IA",United States,Y40,2
9/9/1984,"AKRON, IA",United States,Y40,2
9/9/1984,"OTTUMWA, IA",United States,OTM,0
,,,,
,,,,
9/9/1984,"KERRVILLE, TX",United States,ERV,0
9/9/1984,"SAN ANTONIO, TX",United States,T94,0
,,,,
9/9/1984,"ERIE, CO",United States,48V,0
9/9/1984,"GREENVILLE, IL",United States,GRE,0
,,,,
9/9/1984,"LYNCHBURG, VA",United States,LYH,0
,,,,
,,,,
,,,,
,,,,
,,,,
9/8/1984,"RIALTO, CA",United States,L67,0
9/8/1984,"SHOW LOW, AZ",United States,SOW,0
,,,,
,,,,
,,,,
9/8/1984,"ALVIN, TX",United States,6R5,0
9/8/1984,"LANSING, IL",United States,3HA,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/7/1984,"HYANNIS, MA",United States,HYA,0
9/7/1984,"COUNCIL BLUFFS, IA",United States,CBF,0
9/7/1984,"NAPLES, FL",United States,APF,1
,,,,
,,,,
,,,,
,,,,
,,,,
9/7/1984,"HAZLEHURST, GA",United States,46J,0
,,,,
9/6/1984,"GRAIN VALLEY, MO",United States,3GV,0
,,,,
9/6/1984,"LUBBOCK, TX",United States,LBB,0
9/6/1984,"SAN ANTONIO, TX",United States,T99,0
,,,,
9/5/1984,"PROVIDENCE, RI",United States,PVD,0
,,,,
,,,,
9/5/1984,"BUTTE, MT",United States,BTM,0
9/5/1984,"COKEVILLE, WY",United States,U06,0
,,,,
,,,,
9/5/1984,"SOMERSET, KY",United States,SME,0
,,,,
9/4/1984,"MONTICELLO, NY",United States,MSV,0
9/4/1984,"WEST PALM BCH, FL",United States,PBI,0
,,,,
,,,,
9/4/1984,"WEST JORDAN, UT",United States,U42,0
9/4/1984,"NEW CARLISLE, OH",United States,I11,0
9/4/1984,"LAURENS, SC",United States,34A,0
9/4/1984,"ANCHORAGE, AK",United States,MRI,0
,,,,
,,,,
,,,,
9/3/1984,"WASHINGTON, PA",United States,3G2,0
,,,,
9/3/1984,"BRIDGEPORT, CT",United States,BDR,1
,,,,
9/3/1984,"ORLANDO, FL",United States,X30,0
,,,,
9/3/1984,"RUBIDOUX, CA",United States,R1R,2
9/3/1984,"MIDLAND, TX",United States,7TX6,0
9/3/1984,"APPLETON, WI",United States,ATW,0
,,,,
,,,,
9/3/1984,"WASHINGTON, DC",United States,DCA,0
9/3/1984,"WASHINGTON, DC",United States,DCA,0
,,,,
,,,,
,,,,
,,,,
,,,,
9/2/1984,"MITCHELLVILLE, MD",United States,W00,0
,,,,
9/2/1984,"SAN JOSE, CA",United States,RHV,0
,,,,
,,,,
9/2/1984,"PONTIAC, MI",United States,PTK,0
9/2/1984,"NEW POINT, IN",United States,713,0
9/2/1984,"CHISTOCHINA, AK",United States,CZO,0
,,,,
,,,,
,,,,
9/1/1984,"MONTAUK, NY",United States,MTP,0
9/1/1984,"MANSFIELD, MA",United States,1B9,0
,,,,
,,,,
9/1/1984,"MARSHALL, MO",United States,MO83,0
,,,,
9/1/1984,"KEY LARGO, FL",United States,X43,0
9/1/1984,"BYRON, CA",United States,4Q5,0
9/1/1984,"MESA, AZ",United States,FFZ,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/1/1984,"CHANDALAR LAKE, AK",United States,WCR,0
,,,,
8/31/1984,"BRIDGEPORT, NE",United States,4V4,0
,,,,
8/31/1984,"HUNTINGTON BCH, CA",United States,L16,0
,,,,
8/31/1984,"ROCK SPRINGS, WY",United States,RKS,2
8/31/1984,"WASHINGTON, DC",United States,DCA,0
8/31/1984,"WILMINGTON, NC",United States,ILM,0
8/31/1984,"ALBERTVILLE, AL",United States,8A0,2
8/31/1984,"ANCHORAGE, AK",United States,ANC,0
,,,,
,,,,
8/31/1984,"NONDALTON, AK",United States,SNN,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/30/1984,"NASHVILLE, TN",United States,BNA,0
,,,,
,,,,
8/29/1984,"SAN JOSE, CA",United States,SJC,0
,,,,
8/29/1984,"EL CAJON, CA",United States,SEE,0
,,,,
8/29/1984,"BAKERSFIELD, CA",United States,L-45,0
,,,,
8/29/1984,"KIRTLAND AFB, NM",United States,ABQ,0
,,,,
,,,,
8/29/1984,"MADISON, WI",United States,MSN,0
,,,,
8/28/1984,"ONEONTA, NY",United States,41N,0
8/28/1984,"BEATRICE, NE",United States,BIE,0
8/28/1984,"CHESTERFIELD, MO",United States,SUS,0
8/28/1984,"LIVERMORE, CA",United States,LVK,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/27/1984,"BILLINGS, MT",United States,BIL,0
8/27/1984,"CRAWFORDSVILLE, IN",United States,CFJ,0
,,,,
8/27/1984,"NEW ATHENS, OH",United States,8G6,0
,,,,
8/26/1984,"MERIDEN, CT",United States,MMK,0
8/26/1984,"MERIDEN, CT",United States,MMK,0
8/26/1984,"PEMBROKE PINES, FL",United States,HWO,1
,,,,
,,,,
8/26/1984,"TRUCKEE, CA",United States,TRK,0
8/26/1984,"APPLE VALLEY, CA",United States,12,0
8/26/1984,"MICHIGAN CITY, IN",United States,MGC,0
,,,,
,,,,
,,,,
8/25/1984,"POWNAL, ME",United States,77B,1
8/25/1984,"PARK HALL, MD",United States,W19,0
8/25/1984,"ELMIRA, NY",United States,ELM,1
,,,,
,,,,
8/25/1984,"GAINESVILLE, FL",United States,APE,0
8/25/1984,"ORLANDO, FL",United States,MCO,0
8/25/1984,"VALDOSTA, GA",United States,VLD,4
8/25/1984,"VALDOSTA, GA",United States,VLD,4
,,,,
,,,,
8/25/1984,"TULSA, OK",United States,RVS,0
,,,,
,,,,
8/25/1984,"AURORA, CO",United States,O1V,0
8/25/1984,"KOKOMO, IN",United States,8I3,0
,,,,
8/25/1984,"BROOKVILLE, OH",United States,I62,0
,,,,
8/25/1984,"WARRENTON, VA",United States,9W0,0
8/25/1984,"FAIR HOPE, AL",United States,4R4,0
,,,,
,,,,
8/24/1984,"EAST MORICHES, NY",United States,OB,0
8/24/1984,"WALLINGFORD, VT",United States,RUT,2
,,,,
,,,,
8/24/1984,"ARLINGTON, TX",United States,E54,0
,,,,
,,,,
8/24/1984,"POPLAR, MT",United States,42S,0
8/24/1984,"SAN LUIS OBISPO, CA",United States,SBP,17
8/24/1984,"SAN LUIS OBISPO, CA",United States,SBP,17
8/24/1984,"EDEN PRAIRIE, MN",United States,FCM,0
8/24/1984,"WOODSTOCK, IL",United States,3CK,0
,,,,
,,,,
8/23/1984,"TETERBORO, NJ",United States,TEB,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/23/1984,"TAHLEQUAH, OK",United States,H73,0
,,,,
8/23/1984,"WINSTON-SALEM, NC",United States,INT,0
8/22/1984,"PUYALLUP, WA",United States,1SO,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/22/1984,"PARADISE, CA",United States,Q88,1
,,,,
,,,,
8/22/1984,"AKRON, CO",United States,AKO,0
8/22/1984,"KINDRED, ND",United States,1ND3,0
8/22/1984,"WESTFIELD, IN",United States,172,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/21/1984,"MANVILLE, NJ",United States,47N,0
8/21/1984,"MERCER, PA",United States,22PN,0
